Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
195,Tyler Johnson\johnsty01,PG,25,MIA,3,0,24.7,2.7,9.0,.296,0.7,3.7,.182,2.0,5.3,.375,.333,1.3,1.3,1.000,0.7,2.3,3.0,1.0,0.7,0.7,1.3,1.7,7.3
196,Wesley Johnson\johnswe01,SF,30,LAC,2,0,17.0,2.5,5.0,.500,0.5,1.5,.333,2.0,3.5,.571,.550,0.5,1.0,.500,0.5,3.5,4.0,1.5,1.5,0.0,0.0,2.5,6.0
197,Nikola Jokic\jokicni01,C,22,DEN,3,3,33.7,4.0,9.0,.444,1.3,2.7,.500,2.7,6.3,.421,.519,2.7,2.7,1.000,0.7,9.3,10.0,6.7,0.7,0.0,4.7,3.0,12.0
198,Derrick Jones\jonesde02,SF,20,PHO,2,0,8.5,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.5,1.0
199,Tyus Jones\jonesty01,PG,21,MIN,3,0,15.7,0.3,1.7,.200,0.0,0.7,.000,0.3,1.0,.333,.200,0.7,1.0,.667,0.0,1.0,1.0,2.0,0.7,0.0,0.7,1.0,1.3
200,DeAndre Jordan\jordade01,C,29,LAC,2,2,29.5,4.0,7.5,.533,0.0,0.0,,4.0,7.5,.533,.533,2.0,2.0,1.000,6.0,12.5,18.5,0.5,0.5,0.0,0.5,3.0,10.0
201,Cory Joseph\josepco01,PG,26,IND,3,0,24.0,3.0,8.3,.360,0.3,0.7,.500,2.7,7.7,.348,.380,2.3,3.0,.778,0.3,2.0,2.3,2.0,1.3,0.3,1.7,1.7,8.7
202,Frank Kaminsky\kaminfr01,C,24,CHO,3,0,30.0,4.7,10.3,.452,1.7,4.7,.357,3.0,5.7,.529,.532,3.3,3.7,.909,0.0,5.0,5.0,2.3,0.3,0.0,1.3,1.0,14.3
203,Enes Kanter\kanteen01,C,25,NYK,2,2,23.0,6.0,10.0,.600,0.0,0.5,.000,6.0,9.5,.632,.600,1.5,1.5,1.000,3.5,5.0,8.5,0.5,1.5,0.0,2.5,1.5,13.5
204,Luke Kennard\kennalu01,G,21,DET,3,0,17.3,2.7,6.0,.444,0.3,2.3,.143,2.3,3.7,.636,.472,0.7,1.3,.500,0.3,1.7,2.0,1.0,0.7,0.0,1.7,1.3,6.3
205,Maxi Kleber\klebima01,F,26,DAL,2,0,9.0,1.5,2.0,.750,0.0,0.5,.000,1.5,1.5,1.000,.750,0.5,1.0,.500,0.0,1.5,1.5,0.5,1.0,0.0,0.0,0.5,3.5
206,Kyle Korver\korveky01,SG,36,CLE,3,0,13.3,2.3,4.3,.538,1.7,2.7,.625,0.7,1.7,.400,.731,0.0,0.0,,0.0,2.0,2.0,0.3,0.3,0.0,0.3,0.7,6.3
207,Kosta Koufos\koufoko01,C,28,SAC,4,0,19.0,1.3,3.5,.357,0.0,0.0,,1.3,3.5,.357,.357,1.0,2.3,.444,2.5,3.3,5.8,0.8,0.5,1.0,0.8,2.3,3.5
208,Kyle Kuzma\kuzmaky01,SF,22,LAL,3,0,26.0,5.7,9.3,.607,1.0,3.3,.300,4.7,6.0,.778,.661,2.0,3.0,.667,1.0,3.3,4.3,1.7,1.0,0.0,0.7,1.7,14.3
209,Skal Labissiere\labissk01,PF,21,SAC,4,1,24.8,5.3,10.0,.525,0.3,0.8,.333,5.0,9.3,.541,.538,1.8,1.8,1.000,1.0,4.8,5.8,1.3,0.5,0.8,2.3,2.0,12.5
210,Jeremy Lamb\lambje01,SG,25,CHO,3,3,33.3,5.3,14.7,.364,0.3,4.3,.077,5.0,10.3,.484,.375,4.7,5.0,.933,1.0,5.0,6.0,1.7,0.3,0.3,2.7,2.7,15.7
211,Shane Larkin\larkish01,G,25,BOS,2,0,12.0,2.0,3.0,.667,1.0,1.5,.667,1.0,1.5,.667,.833,0.0,0.0,,0.0,1.5,1.5,2.0,0.0,0.0,0.5,0.0,5.0
212,Joffrey Lauvergne\lauvejo01,C,26,SAS,3,0,15.7,2.7,7.0,.381,0.0,0.3,.000,2.7,6.7,.400,.381,0.7,1.0,.667,2.0,3.3,5.3,0.7,0.3,0.0,1.0,1.0,6.0
213,Jake Layman\laymaja01,SF,23,POR,2,0,7.0,0.5,2.0,.250,0.5,1.0,.500,0.0,1.0,.000,.375,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5,1.5
214,T.J. Leaf\leaftj01,PF,20,IND,3,0,15.3,3.0,5.0,.600,1.0,2.0,.500,2.0,3.0,.667,.700,0.3,0.3,1.000,0.3,2.7,3.0,0.7,0.0,0.3,0.3,2.0,7.3
215,Courtney Lee\leeco01,SG,32,NYK,2,2,30.0,3.0,8.5,.353,0.5,2.0,.250,2.5,6.5,.385,.382,0.0,0.0,,0.0,2.0,2.0,2.0,1.5,0.0,2.5,1.0,6.5
216,Alex Len\lenal01,C,24,PHO,3,0,21.0,1.7,3.7,.455,0.0,0.0,,1.7,3.7,.455,.455,5.3,6.3,.842,1.3,5.7,7.0,1.3,0.0,0.7,2.3,3.3,8.7
217,Meyers Leonard\leoname01,PF,25,POR,1,0,11.0,2.0,4.0,.500,0.0,1.0,.000,2.0,3.0,.667,.500,2.0,4.0,.500,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,6.0
218,Jon Leuer\leuerjo01,PF,28,DET,4,0,21.8,2.3,5.0,.450,0.0,0.8,.000,2.3,4.3,.529,.450,2.0,2.3,.889,0.5,2.0,2.5,0.8,0.0,0.5,0.5,1.8,6.5
219,Caris LeVert\leverca01,SF,23,BRK,3,1,28.3,4.7,11.7,.400,0.3,3.3,.100,4.3,8.3,.520,.414,2.7,4.3,.615,0.0,3.0,3.0,3.3,2.3,0.7,2.7,3.3,12.3
220,DeAndre Liggins\liggide01,SG,29,MIL,2,0,19.5,1.0,3.0,.333,0.5,1.5,.333,0.5,1.5,.333,.417,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,1.0,1.5,1.5,2.5
221,Damian Lillard\lillada01,PG,27,POR,3,3,32.3,7.7,17.0,.451,2.3,4.7,.500,5.3,12.3,.432,.520,6.0,6.3,.947,1.7,4.0,5.7,5.3,2.0,1.3,2.0,2.7,23.7
222,Jeremy Lin\linje01,PG,29,BRK,1,1,25.0,5.0,12.0,.417,1.0,2.0,.500,4.0,10.0,.400,.458,7.0,7.0,1.000,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,18.0
223,Shaun Livingston\livinsh01,PG,32,GSW,4,0,16.5,2.8,5.3,.524,0.0,0.0,,2.8,5.3,.524,.524,0.5,1.0,.500,1.5,1.5,3.0,1.8,0.0,0.0,1.0,1.5,6.0
224,Kevon Looney\looneke01,C,21,GSW,1,0,8.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,.500,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0
225,Brook Lopez\lopezbr01,C,29,LAL,3,3,26.3,5.0,12.7,.395,1.3,4.3,.308,3.7,8.3,.440,.447,4.0,4.7,.857,2.0,5.7,7.7,1.3,1.0,1.0,2.0,3.3,15.3
226,Robin Lopez\lopezro01,C,29,CHI,2,2,30.5,7.0,13.5,.519,0.5,2.0,.250,6.5,11.5,.565,.537,2.5,3.0,.833,3.5,4.0,7.5,2.5,0.5,1.5,2.5,2.0,17.0
227,Kevin Love\loveke01,C,29,CLE,3,3,27.3,5.7,12.7,.447,0.3,4.0,.083,5.3,8.7,.615,.461,5.3,6.0,.889,2.0,8.7,10.7,2.3,0.3,1.0,2.7,2.0,17.0
228,Kyle Lowry\lowryky01,PG,31,TOR,3,3,31.3,4.3,10.0,.433,2.3,7.0,.333,2.0,3.0,.667,.550,1.3,1.7,.800,0.0,3.7,3.7,5.7,0.3,0.0,2.0,2.3,12.3
229,Timothe Luwawu-Cabarrot\luwawti01,SF,22,PHI,4,0,12.8,1.0,4.3,.235,0.5,2.8,.182,0.5,1.5,.333,.294,1.0,1.5,.667,0.8,0.5,1.3,1.0,0.8,0.0,0.8,1.5,3.5
230,Trey Lyles\lylestr01,PF,22,DEN,2,0,2.5,1.0,1.5,.667,0.5,1.0,.500,0.5,0.5,1.000,.833,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,2.5
231,Shelvin Mack\macksh01,PG,27,ORL,2,0,15.5,1.0,3.5,.286,1.0,1.5,.667,0.0,2.0,.000,.429,1.0,1.0,1.000,0.0,1.5,1.5,4.0,1.0,0.0,2.0,0.5,4.0
232,Josh Magette\magetjo01,PG,28,ATL,3,0,4.7,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,.000,.750,0.0,0.0,,0.0,0.3,0.3,1.0,0.0,0.0,0.0,1.0,1.0
233,Ian Mahinmi\mahinia01,C,31,WAS,3,0,15.0,2.3,4.0,.583,0.0,0.0,,2.3,4.0,.583,.583,0.3,0.7,.500,2.7,2.3,5.0,1.0,0.7,0.3,1.0,3.3,5.0
234,Thon Maker\makerth01,C,20,MIL,4,4,16.0,1.5,4.8,.316,0.8,2.5,.300,0.8,2.3,.333,.395,0.8,1.0,.750,0.8,1.8,2.5,0.5,1.3,0.5,0.8,3.5,4.5
235,Boban Marjanovic\marjabo01,C,29,DET,1,0,4.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
236,Lauri Markkanen\markkla01,PF,20,CHI,2,2,35.0,5.0,13.0,.385,2.5,7.0,.357,2.5,6.0,.417,.481,2.5,3.5,.714,1.0,9.0,10.0,0.0,0.5,0.5,3.0,2.5,15.0
237,Jarell Martin\martija01,PF,23,MEM,3,2,23.0,3.0,7.7,.391,0.3,2.0,.167,2.7,5.7,.471,.413,0.7,0.7,1.000,1.7,3.3,5.0,0.3,0.7,0.3,1.3,3.7,7.0
238,Frank Mason\masonfr01,G,23,SAC,1,0,17.0,2.0,9.0,.222,1.0,2.0,.500,1.0,7.0,.143,.278,2.0,3.0,.667,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,7.0
239,Wesley Matthews\matthwe02,SG,31,DAL,4,4,33.8,3.8,10.8,.349,2.5,7.3,.345,1.3,3.5,.357,.465,1.3,1.5,.833,0.8,3.0,3.8,2.8,1.8,0.3,2.8,1.8,11.3
240,Luc Mbah a Moute\mbahalu01,PF,31,HOU,4,0,25.5,2.8,5.8,.478,0.5,2.5,.200,2.3,3.3,.692,.522,2.0,2.5,.800,0.8,3.0,3.8,0.3,0.8,0.0,2.0,1.5,8.0
241,Patrick McCaw\mccawpa01,SG,22,GSW,3,0,12.7,0.7,1.7,.400,0.0,0.3,.000,0.7,1.3,.500,.400,0.0,0.0,,0.3,1.0,1.3,1.0,0.7,0.3,0.3,0.7,1.3
242,C.J. McCollum\mccolcj01,SG,26,POR,2,2,34.5,10.5,18.0,.583,3.0,5.0,.600,7.5,13.0,.577,.667,3.0,3.5,.857,0.0,5.0,5.0,1.0,1.5,0.5,1.0,2.0,27.0
243,T.J. McConnell\mccontj01,PG,25,PHI,4,0,15.3,1.3,3.3,.385,0.3,0.8,.333,1.0,2.5,.400,.423,0.5,0.5,1.000,0.3,1.0,1.3,2.8,0.8,0.0,1.8,3.0,3.3
244,Doug McDermott\mcderdo01,SF,26,NYK,2,0,26.0,2.0,5.0,.400,0.5,2.5,.200,1.5,2.5,.600,.450,0.0,0.0,,1.0,2.0,3.0,2.5,0.5,1.0,0.5,1.0,4.5
245,JaVale McGee\mcgeeja01,C,30,GSW,3,0,8.0,1.0,1.7,.600,0.0,0.0,,1.0,1.7,.600,.600,2.0,2.7,.750,0.3,2.3,2.7,1.0,0.0,0.3,0.3,2.0,4.0
246,Alfonzo McKinnie\mckinal01,SF,25,TOR,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,Jodie Meeks\meeksjo01,SG,30,WAS,3,0,16.7,2.0,6.7,.300,1.3,3.7,.364,0.7,3.0,.222,.400,4.0,4.0,1.000,0.0,1.0,1.0,0.0,0.3,0.0,0.7,0.0,9.3
248,Salah Mejri\mejrisa01,C,31,DAL,1,0,13.0,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,3.0,1.0,0.0,4.0
249,Jordan Mickey\mickejo01,PF,23,MIA,2,2,14.0,2.5,4.5,.556,0.0,0.5,.000,2.5,4.0,.625,.556,0.0,0.5,.000,1.5,4.5,6.0,0.0,0.0,1.0,1.0,2.5,5.0
250,Khris Middleton\middlkh01,SF,26,MIL,4,4,35.8,5.8,14.8,.390,0.5,4.0,.125,5.3,10.8,.488,.407,3.3,3.3,1.000,0.5,5.5,6.0,4.3,0.8,0.3,3.0,4.0,15.3
251,C.J. Miles\milescj01,SF,30,TOR,3,0,20.7,4.3,9.3,.464,3.3,7.3,.455,1.0,2.0,.500,.643,1.3,1.3,1.000,0.0,3.3,3.3,0.7,0.0,0.0,1.0,3.7,13.3
252,Darius Miller\milleda01,F,27,NOP,3,0,16.7,1.3,4.3,.308,0.7,3.0,.222,0.7,1.3,.500,.385,0.0,0.0,,0.0,0.7,0.7,0.7,0.3,0.3,0.7,1.7,3.3
253,Patty Mills\millspa02,PG,29,SAS,3,0,21.7,1.7,4.0,.417,0.3,1.7,.200,1.3,2.3,.571,.458,0.0,0.0,,0.0,1.3,1.3,2.3,0.7,0.3,1.7,2.7,3.7
254,Paul Millsap\millspa01,PF,32,DEN,3,3,31.0,7.0,13.7,.512,1.0,3.0,.333,6.0,10.7,.563,.549,3.0,3.7,.818,1.7,6.0,7.7,1.0,0.0,0.3,3.3,2.0,18.0
255,Donovan Mitchell\mitchdo01,SG,21,UTA,3,2,22.7,1.7,8.3,.200,0.0,2.3,.000,1.7,6.0,.278,.200,1.3,1.7,.800,0.0,1.0,1.0,4.0,0.3,1.0,1.3,2.3,4.7
256,Malik Monk\monkma01,SG,19,CHO,3,0,19.3,1.3,7.3,.182,1.0,4.7,.214,0.3,2.7,.125,.250,0.7,0.7,1.000,0.0,1.3,1.3,0.7,0.0,0.0,2.3,1.3,4.3
257,Greg Monroe\monrogr01,C,27,MIL,4,0,15.5,3.0,6.3,.480,0.0,0.0,,3.0,6.3,.480,.480,0.5,1.0,.500,1.5,3.3,4.8,1.0,0.0,0.0,0.8,1.3,6.5
258,E'Twaun Moore\mooreet01,SG,28,NOP,3,3,31.0,4.3,8.3,.520,1.0,3.0,.333,3.3,5.3,.625,.580,0.3,0.7,.500,1.3,0.7,2.0,2.3,0.3,0.0,1.0,3.0,10.0
259,Eric Moreland\moreler01,F-C,26,DET,2,0,12.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,1.5,0.0,1.0,2.5,0.0
260,Timofey Mozgov\mozgoti01,C,31,BRK,3,3,16.0,2.3,4.7,.500,0.0,0.7,.000,2.3,4.0,.583,.500,0.0,0.0,,2.0,2.7,4.7,0.3,0.0,0.0,1.0,0.3,4.7
261,Emmanuel Mudiay\mudiaem01,PG,21,DEN,3,0,22.0,4.0,9.3,.429,1.3,2.7,.500,2.7,6.7,.400,.500,1.7,2.7,.625,0.0,4.0,4.0,2.3,0.3,0.0,2.3,2.7,11.0
262,Shabazz Muhammad\muhamsh01,SF,25,MIN,3,0,11.3,1.0,3.3,.300,0.0,0.3,.000,1.0,3.0,.333,.300,0.0,0.0,,0.7,0.7,1.3,0.3,0.0,0.3,0.0,1.3,2.0
263,Dejounte Murray\murrade01,PG,21,SAS,3,3,26.7,5.7,10.0,.567,0.0,0.7,.000,5.7,9.3,.607,.567,2.0,2.7,.750,2.7,7.0,9.7,4.7,1.3,0.3,2.3,2.0,13.3
264,Jamal Murray\murraja01,PG,20,DEN,3,3,23.0,2.3,9.0,.259,0.7,4.7,.143,1.7,4.3,.385,.296,0.7,0.7,1.000,0.7,1.7,2.3,3.3,0.3,0.3,1.7,2.0,6.0
265,Mike Muscala\muscami01,C,26,ATL,4,1,20.0,2.5,5.5,.455,0.5,2.0,.250,2.0,3.5,.571,.500,1.0,1.3,.800,1.8,2.8,4.5,0.8,0.3,0.0,1.0,1.8,6.5
266,Abdel Nader\naderab01,SF,24,BOS,2,0,9.0,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,2.0
267,Larry Nance\nancela02,PF,25,LAL,3,3,22.0,5.0,9.0,.556,0.0,0.3,.000,5.0,8.7,.577,.556,1.3,2.0,.667,2.0,5.0,7.0,0.3,1.0,1.0,2.3,3.7,11.3
268,Shabazz Napier\napiesh01,PG,26,POR,3,0,10.3,2.0,3.0,.667,0.7,1.0,.667,1.3,2.0,.667,.778,0.3,0.7,.500,0.3,1.0,1.3,1.0,0.7,0.0,0.3,1.0,5.0
269,Jameer Nelson\nelsoja01,PG,35,NOP,1,0,24.0,2.0,4.0,.500,1.0,3.0,.333,1.0,1.0,1.000,.625,0.0,0.0,,0.0,1.0,1.0,5.0,1.0,0.0,1.0,1.0,5.0
270,Raul Neto\netora01,PG,25,UTA,1,0,11.0,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0
271,Nerlens Noel\noelne01,C,23,DAL,4,1,18.5,3.3,4.5,.722,0.0,0.0,,3.3,4.5,.722,.722,2.3,3.0,.750,1.5,5.8,7.3,0.0,1.5,1.3,0.8,2.0,8.8
272,Lucas Nogueira\noguelu01,C,25,TOR,2,1,18.0,3.0,5.5,.545,0.0,1.0,.000,3.0,4.5,.667,.545,1.0,1.0,1.000,2.0,5.5,7.5,0.0,2.0,1.0,0.5,2.0,7.0
273,Dirk Nowitzki\nowitdi01,C,39,DAL,4,4,25.3,3.3,10.8,.302,1.0,3.3,.308,2.3,7.5,.300,.349,0.8,1.3,.600,1.0,5.8,6.8,1.3,0.3,0.0,0.8,2.0,8.3
274,Frank Ntilikina\ntilila01,PG,19,NYK,1,0,8.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
275,Jusuf Nurkic\nurkiju01,C,23,POR,3,3,27.0,4.3,12.3,.351,0.0,0.7,.000,4.3,11.7,.371,.351,4.3,6.0,.722,2.0,6.0,8.0,2.3,0.7,1.3,4.3,3.0,13.0
276,David Nwaba\nwabada01,SG,25,CHI,2,0,15.5,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,.667,2.5,3.0,.833,0.0,4.5,4.5,1.5,0.0,0.5,0.5,0.5,4.5
277,Johnny O'Bryant\obryajo01,PF,24,CHO,2,0,14.0,3.0,6.5,.462,0.0,0.5,.000,3.0,6.0,.500,.462,4.0,4.0,1.000,2.5,2.5,5.0,0.5,0.5,1.0,0.5,1.5,10.0
278,Royce O'Neale\onealro01,F,24,UTA,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
279,Kyle O'Quinn\oquinky01,C,27,NYK,2,0,23.0,4.0,6.0,.667,0.0,0.5,.000,4.0,5.5,.727,.667,2.5,2.5,1.000,3.0,5.5,8.5,2.5,0.5,0.0,1.5,3.5,10.5
280,Semi Ojeleye\ojelese01,PF,23,BOS,2,0,10.0,0.5,2.0,.250,0.5,1.5,.333,0.0,0.5,.000,.375,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.5
281,Jahlil Okafor\okafoja01,C,22,PHI,1,0,22.0,4.0,7.0,.571,0.0,0.0,,4.0,7.0,.571,.571,2.0,4.0,.500,4.0,5.0,9.0,0.0,0.0,2.0,2.0,4.0,10.0
282,Victor Oladipo\oladivi01,SG,25,IND,3,3,31.3,7.0,17.3,.404,2.0,5.7,.353,5.0,11.7,.429,.462,6.3,7.7,.826,0.7,4.3,5.0,3.7,2.7,0.7,2.3,3.3,22.3
283,Kelly Olynyk\olynyke01,PF,26,MIA,3,1,25.7,4.0,8.3,.480,1.7,3.3,.500,2.3,5.0,.467,.580,1.3,2.0,.667,1.0,7.0,8.0,3.7,1.3,0.7,2.3,3.3,11.0
284,Cedi Osman\osmande01,F,22,CLE,2,0,5.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
285,Kelly Oubre\oubreke01,SF,22,WAS,3,2,35.3,3.7,8.3,.440,1.7,4.3,.385,2.0,4.0,.500,.540,1.7,2.3,.714,1.0,5.3,6.3,1.0,2.0,1.0,0.7,2.3,10.7
286,Zaza Pachulia\pachuza01,C,33,GSW,4,4,14.3,1.5,3.3,.462,0.0,0.0,,1.5,3.3,.462,.462,1.0,1.0,1.000,2.0,4.3,6.3,0.0,0.8,0.3,1.3,3.3,4.0
287,Chandler Parsons\parsoch01,SF,29,MEM,3,0,15.3,2.0,4.3,.462,1.3,2.3,.571,0.7,2.0,.333,.615,1.0,2.3,.429,0.7,2.0,2.7,0.3,0.3,0.0,0.3,1.7,6.3
288,Patrick Patterson\pattepa01,PF,28,OKC,3,0,8.3,0.0,2.0,.000,0.0,1.7,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,1.3,1.3,0.0,0.3,0.3,0.7,0.7,0.0
289,Brandon Paul\paulbr01,SG,26,SAS,3,0,2.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.7,0.0
290,Chris Paul\paulch01,PG,32,HOU,1,1,33.0,2.0,9.0,.222,0.0,4.0,.000,2.0,5.0,.400,.222,0.0,0.0,,1.0,7.0,8.0,11.0,2.0,1.0,1.0,4.0,4.0
291,Elfrid Payton\paytoel01,PG,23,ORL,2,2,23.0,4.0,9.0,.444,0.5,1.0,.500,3.5,8.0,.438,.472,0.0,1.0,.000,0.0,2.0,2.0,6.5,2.0,0.5,3.0,1.0,8.5
292,Gary Payton\paytoga02,G,25,MIL,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
