Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
293,Alec Peters\peteral01,PF,22,PHO,2,0,7.0,0.5,2.0,.250,0.5,2.0,.250,0.0,0.0,,.375,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,1.0,0.0,0.5,1.5
294,Mason Plumlee\plumlma01,C,27,DEN,3,0,13.0,2.3,4.7,.500,0.0,0.0,,2.3,4.7,.500,.500,1.0,2.0,.500,1.7,1.0,2.7,0.7,0.3,0.7,1.3,1.7,5.7
295,Jakob Poeltl\poeltja01,C,22,TOR,3,0,20.0,3.7,4.7,.786,0.0,0.0,,3.7,4.7,.786,.786,1.3,2.3,.571,2.0,5.3,7.3,0.0,1.0,2.0,2.3,1.7,8.7
296,Quincy Pondexter\pondequ01,SF,29,CHI,1,0,12.0,4.0,6.0,.667,0.0,1.0,.000,4.0,5.0,.800,.667,0.0,0.0,,2.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,8.0
297,Otto Porter\porteot01,SF,24,WAS,3,3,34.3,7.3,14.3,.512,1.7,4.3,.385,5.7,10.0,.567,.570,2.0,2.0,1.000,2.0,7.0,9.0,2.0,3.7,1.0,0.7,2.3,18.3
298,Kristaps Porzingis\porzikr01,PF,22,NYK,2,2,36.5,11.0,22.5,.489,2.5,6.5,.385,8.5,16.0,.531,.544,7.5,9.5,.789,1.5,7.0,8.5,1.5,0.5,1.0,2.0,3.0,32.0
299,Dwight Powell\poweldw01,C,26,DAL,4,0,15.8,2.3,5.8,.391,1.3,2.8,.455,1.0,3.0,.333,.500,0.5,0.5,1.000,1.0,1.8,2.8,0.8,0.5,0.3,0.8,1.8,6.3
300,Norman Powell\powelno01,SG,24,TOR,3,3,21.3,2.3,7.0,.333,1.0,3.3,.300,1.3,3.7,.364,.405,2.0,2.0,1.000,0.3,2.3,2.7,2.3,1.3,0.3,1.7,3.0,7.7
301,Alex Poythress\poythal01,PF,24,IND,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
302,Zhou Qi\qizh01,F-C,22,HOU,1,0,7.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0
303,Julius Randle\randlju01,PF,23,LAL,3,0,18.3,3.7,6.0,.611,0.0,0.3,.000,3.7,5.7,.647,.611,2.0,3.7,.545,1.0,2.0,3.0,1.0,0.3,1.0,2.3,3.0,9.3
304,Zach Randolph\randoza01,PF,36,SAC,3,3,22.0,3.3,10.7,.313,0.7,1.7,.400,2.7,9.0,.296,.344,0.7,1.3,.500,2.7,3.7,6.3,0.7,1.3,0.0,1.3,2.7,8.0
305,J.J. Redick\redicjj01,SG,33,PHI,4,4,32.0,4.0,10.8,.372,2.0,5.0,.400,2.0,5.8,.348,.465,1.0,1.0,1.000,0.0,2.8,2.8,3.0,0.8,0.0,1.5,1.8,11.0
306,Willie Reed\reedwi02,C,27,LAC,2,0,13.0,4.5,6.0,.750,0.0,0.0,,4.5,6.0,.750,.750,1.0,1.0,1.000,1.5,3.0,4.5,0.0,0.5,0.0,0.5,3.0,10.0
307,Josh Richardson\richajo01,SF,24,MIA,3,3,36.7,5.3,11.3,.471,2.7,7.0,.381,2.7,4.3,.615,.588,1.0,1.7,.600,0.7,4.0,4.7,2.7,0.7,1.3,2.0,3.0,14.3
308,Malachi Richardson\richama01,SG,22,SAC,2,0,10.0,1.0,3.5,.286,1.0,1.5,.667,0.0,2.0,.000,.429,1.0,1.0,1.000,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,4.0
309,Austin Rivers\riverau01,SG,25,LAC,2,0,29.5,1.5,9.0,.167,0.0,2.5,.000,1.5,6.5,.231,.167,0.5,2.0,.250,0.5,1.0,1.5,3.0,1.5,0.0,1.5,3.0,3.5
310,Andre Roberson\roberan03,SF,26,OKC,3,3,19.0,1.3,4.0,.333,0.3,1.7,.200,1.0,2.3,.429,.375,0.0,0.7,.000,1.0,2.0,3.0,0.7,0.3,0.0,0.3,0.7,3.0
311,Derrick Rose\rosede01,PG,29,CLE,2,2,27.0,4.0,9.0,.444,0.5,1.5,.333,3.5,7.5,.467,.472,4.5,5.0,.900,1.0,2.0,3.0,1.5,1.0,0.0,1.5,1.0,13.0
312,Terrence Ross\rosste01,SG,26,ORL,3,3,28.0,3.3,10.3,.323,1.7,5.3,.313,1.7,5.0,.333,.403,1.3,1.7,.800,1.0,4.0,5.0,2.7,1.0,0.3,0.7,1.3,9.7
313,Terry Rozier\roziete01,PG,23,BOS,3,0,25.7,4.7,9.7,.483,2.0,4.7,.429,2.7,5.0,.533,.586,1.3,2.3,.571,0.3,5.3,5.7,3.3,2.0,0.0,0.7,2.0,12.7
314,Ricky Rubio\rubiori01,PG,27,UTA,3,3,33.7,4.0,11.0,.364,1.3,5.3,.250,2.7,5.7,.471,.424,5.3,6.0,.889,0.3,5.0,5.3,8.3,1.7,0.0,4.3,3.0,14.7
315,D'Angelo Russell\russeda01,PG,21,BRK,3,3,28.3,8.7,17.0,.510,1.7,4.7,.357,7.0,12.3,.568,.559,2.0,2.7,.750,1.0,3.3,4.3,7.0,1.7,0.0,4.7,3.3,21.0
316,Domantas Sabonis\sabondo01,PF,21,IND,3,2,26.3,4.7,7.3,.636,0.0,0.7,.000,4.7,6.7,.700,.636,3.0,5.0,.600,3.0,6.0,9.0,1.3,0.3,0.7,2.0,3.7,12.3
317,JaKarr Sampson\sampsja02,G-F,24,SAC,1,0,6.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
318,Dario Saric\saricda01,PF,23,PHI,4,0,22.5,2.8,8.0,.344,0.8,3.3,.231,2.0,4.8,.421,.391,0.8,1.3,.600,1.5,3.8,5.3,1.5,0.0,0.5,2.0,3.3,7.0
319,Tomas Satoransky\satorto01,G,26,WAS,1,0,5.0,2.0,2.0,1.000,1.0,1.0,1.000,1.0,1.0,1.000,1.250,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
320,Dennis Schroder\schrode01,PG,24,ATL,3,3,32.3,9.7,23.0,.420,0.3,3.0,.111,9.3,20.0,.467,.428,3.7,4.0,.917,1.3,1.7,3.0,6.7,1.7,0.0,2.3,2.0,23.3
321,Mike Scott\scottmi01,PF,29,WAS,3,0,17.7,2.3,5.0,.467,0.3,1.7,.200,2.0,3.3,.600,.500,0.7,0.7,1.000,0.0,1.0,1.0,0.7,0.0,0.3,1.0,0.7,5.7
322,Thabo Sefolosha\sefolth01,SF,33,UTA,3,0,24.3,3.0,6.0,.500,0.3,2.3,.143,2.7,3.7,.727,.528,0.3,0.3,1.000,0.0,3.7,3.7,1.0,2.0,0.0,0.7,1.0,6.7
323,Ramon Sessions\sessira01,PG,31,NYK,2,2,26.5,1.5,5.5,.273,0.5,3.0,.167,1.0,2.5,.400,.318,3.0,4.0,.750,0.5,4.0,4.5,3.0,0.5,0.5,2.0,4.0,6.5
324,Iman Shumpert\shumpim01,SG,27,CLE,3,0,19.0,2.3,6.0,.389,1.3,2.0,.667,1.0,4.0,.250,.500,2.3,3.3,.700,1.0,2.7,3.7,1.0,0.7,0.3,1.0,1.7,8.3
325,Pascal Siakam\siakapa01,PF,23,TOR,2,0,6.5,0.5,2.5,.200,0.0,1.0,.000,0.5,1.5,.333,.200,1.0,1.0,1.000,1.0,2.0,3.0,1.0,0.5,0.0,0.0,0.5,2.0
326,Ben Simmons\simmobe01,PG,21,PHI,4,4,34.8,6.5,13.3,.491,0.0,0.5,.000,6.5,12.8,.510,.491,4.0,6.5,.615,2.3,8.5,10.8,7.0,1.0,0.3,3.0,1.8,17.0
327,Jonathon Simmons\simmojo02,SG,28,ORL,3,0,23.3,4.7,9.0,.519,1.7,3.0,.556,3.0,6.0,.500,.611,2.7,2.7,1.000,0.7,1.7,2.3,0.7,0.3,0.0,1.7,3.3,13.7
328,Marcus Smart\smartma01,SG,23,BOS,2,1,33.5,4.5,14.5,.310,1.5,5.5,.273,3.0,9.0,.333,.362,1.5,4.5,.333,1.5,6.5,8.0,3.5,2.5,1.0,2.5,3.0,12.0
329,Dennis Smith\smithde03,PG,20,DAL,2,2,30.0,4.5,11.5,.391,0.5,3.0,.167,4.0,8.5,.471,.413,3.5,7.0,.500,2.0,2.5,4.5,5.5,1.0,0.0,2.0,2.5,13.0
330,Ish Smith\smithis01,PG,29,DET,4,0,19.0,3.8,9.3,.405,0.0,1.3,.000,3.8,8.0,.469,.405,0.0,0.5,.000,0.8,1.3,2.0,3.5,1.0,0.3,2.8,2.5,7.5
331,J.R. Smith\smithjr01,SG,32,CLE,3,0,21.7,2.7,8.0,.333,0.7,4.3,.154,2.0,3.7,.545,.375,0.3,0.3,1.000,0.0,2.7,2.7,1.3,0.0,0.0,1.0,2.3,6.3
332,Jason Smith\smithja02,C,31,WAS,1,1,7.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
333,Tony Snell\snellto01,SG,26,MIL,4,4,33.3,4.0,6.8,.593,1.8,3.8,.467,2.3,3.0,.750,.722,1.3,1.3,1.000,0.3,2.3,2.5,1.8,1.0,0.0,0.8,2.3,11.0
334,Marreese Speights\speigma01,C,30,ORL,2,0,10.5,2.5,6.0,.417,1.5,3.5,.429,1.0,2.5,.400,.542,0.0,0.0,,1.5,2.0,3.5,0.0,0.0,0.0,0.5,1.0,6.5
335,Nik Stauskas\stausni01,SG,24,PHI,1,0,8.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
336,Lance Stephenson\stephla01,SG,27,IND,3,0,20.7,3.0,11.0,.273,0.7,4.3,.154,2.3,6.7,.350,.303,1.3,3.3,.400,0.3,1.3,1.7,2.0,0.7,0.3,1.0,2.0,8.0
337,Julyan Stone\stoneju01,G,29,CHO,2,0,9.0,1.0,2.0,.500,1.0,2.0,.500,0.0,0.0,,.750,0.0,0.0,,0.0,2.5,2.5,1.0,1.0,0.0,1.0,1.5,3.0
338,Caleb Swanigan\swanica01,PF,20,POR,2,0,13.0,1.5,5.5,.273,0.5,0.5,1.000,1.0,5.0,.200,.318,1.5,1.5,1.000,0.5,1.5,2.0,1.5,0.5,0.0,1.5,2.0,5.0
339,Jayson Tatum\tatumja01,PF,19,BOS,3,3,35.3,3.7,9.0,.407,0.3,1.7,.200,3.3,7.3,.455,.426,4.7,5.7,.824,2.7,6.3,9.0,1.7,0.3,1.0,2.0,3.3,12.3
340,Isaiah Taylor\taylois01,PG,23,ATL,2,0,7.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,1.0,1.0,1.000,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5,2.0
341,Jeff Teague\teaguje01,PG,29,MIN,3,3,32.3,3.7,8.7,.423,0.7,2.0,.333,3.0,6.7,.450,.462,5.3,5.7,.941,0.3,3.0,3.3,6.3,1.3,0.3,2.3,1.7,13.3
342,Mirza Teletovic\teletmi01,PF,32,MIL,4,0,15.0,2.3,5.0,.450,2.3,4.8,.474,0.0,0.3,.000,.675,0.0,0.0,,0.0,2.3,2.3,0.3,0.3,0.3,0.3,1.0,6.8
343,Garrett Temple\templga01,SG,31,SAC,4,0,24.8,3.3,7.3,.448,2.5,5.0,.500,0.8,2.3,.333,.621,1.0,1.5,.667,0.5,2.0,2.5,2.3,1.8,0.3,1.0,1.5,10.0
344,Milos Teodosic\teodomi01,PG,30,LAC,2,2,16.0,2.0,6.0,.333,1.5,3.5,.429,0.5,2.5,.200,.458,0.0,0.0,,0.0,0.5,0.5,4.0,0.0,0.5,1.5,1.5,5.5
345,Jason Terry\terryja01,SG,40,MIL,2,0,10.5,0.0,2.0,.000,0.0,1.5,.000,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,1.0,1.0,1.5,1.0,0.0,0.0,0.0,1.0
346,Daniel Theis\theisda01,C,25,BOS,2,0,7.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,1.0,1.0,1.000,1.5,1.0,2.5,0.5,0.0,0.5,1.0,1.5,3.0
347,Lance Thomas\thomala01,PF,29,NYK,1,0,16.0,1.0,4.0,.250,0.0,2.0,.000,1.0,2.0,.500,.250,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,2.0,4.0,2.0
348,Klay Thompson\thompkl01,SG,27,GSW,4,4,35.3,8.0,16.3,.492,4.0,9.0,.444,4.0,7.3,.552,.615,0.5,0.5,1.000,0.5,3.5,4.0,2.5,0.5,1.3,1.0,2.5,20.5
349,Tristan Thompson\thomptr01,C,26,CLE,3,0,23.3,2.7,4.3,.615,0.0,0.0,,2.7,4.3,.615,.615,0.3,1.0,.333,2.7,5.0,7.7,1.0,0.0,0.3,1.0,1.3,5.7
350,Sindarius Thornwell\thornsi01,SG,23,LAC,2,0,5.0,2.0,3.0,.667,0.5,0.5,1.000,1.5,2.5,.600,.750,1.0,1.0,1.000,0.0,0.0,0.0,0.5,1.0,0.0,0.5,1.5,5.5
351,Anthony Tolliver\tollian01,PF,32,DET,2,0,20.0,2.5,7.5,.333,2.0,6.5,.308,0.5,1.0,.500,.467,0.0,0.0,,0.5,2.5,3.0,1.0,0.0,0.5,0.0,1.5,7.0
352,Karl-Anthony Towns\townska01,C,22,MIN,3,3,34.3,8.7,14.7,.591,0.7,3.0,.222,8.0,11.7,.686,.614,3.7,4.3,.846,2.0,9.7,11.7,1.0,1.0,1.3,2.3,4.0,21.7
353,P.J. Tucker\tuckepj01,SF,32,HOU,4,0,28.3,2.5,6.0,.417,2.0,5.0,.400,0.5,1.0,.500,.583,1.0,1.5,.667,1.5,3.5,5.0,1.3,1.0,0.3,1.8,2.8,8.0
354,Evan Turner\turneev01,SF,29,POR,3,1,30.0,4.7,9.0,.519,1.0,2.3,.429,3.7,6.7,.550,.574,3.0,3.3,.900,0.7,2.0,2.7,4.3,0.7,0.7,1.3,3.0,13.3
355,Myles Turner\turnemy01,C,21,IND,1,1,34.0,8.0,13.0,.615,1.0,3.0,.333,7.0,10.0,.700,.654,4.0,4.0,1.000,3.0,11.0,14.0,2.0,0.0,4.0,1.0,3.0,21.0
356,Ekpe Udoh\udohek01,C-F,30,UTA,3,0,14.7,0.7,2.0,.333,0.0,0.0,,0.7,2.0,.333,.333,1.0,1.7,.600,1.7,1.7,3.3,0.3,0.0,2.3,0.3,1.0,2.3
357,Tyler Ulis\ulisty01,PG,22,PHO,3,0,14.7,1.3,4.3,.308,0.0,1.3,.000,1.3,3.0,.444,.308,2.0,2.7,.750,0.0,0.7,0.7,1.7,0.7,0.0,1.3,1.0,4.7
358,Jonas Valanciunas\valanjo01,C,25,TOR,2,2,23.0,5.5,10.5,.524,0.0,0.5,.000,5.5,10.0,.550,.524,3.0,4.0,.750,4.0,5.5,9.5,1.0,1.0,0.0,0.5,3.0,14.0
359,Denzel Valentine\valende01,SG,24,CHI,2,0,26.0,3.0,8.5,.353,2.0,5.0,.400,1.0,3.5,.286,.471,0.0,0.0,,0.0,3.5,3.5,0.0,0.0,0.0,1.0,2.0,8.0
360,Fred VanVleet\vanvlfr01,PG,23,TOR,3,0,14.0,1.3,5.3,.250,0.7,2.7,.250,0.7,2.7,.250,.313,0.7,0.7,1.000,0.0,0.3,0.3,2.0,0.7,0.3,1.3,1.3,4.0
361,Rashad Vaughn\vaughra01,SG,21,MIL,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,Nikola Vucevic\vucevni01,C,27,ORL,3,3,31.7,11.3,16.7,.680,2.3,4.7,.500,9.0,12.0,.750,.750,2.7,3.3,.800,1.3,9.3,10.7,3.0,1.0,1.7,1.7,2.7,27.7
363,Dwyane Wade\wadedw01,SG,36,CLE,3,3,23.7,2.3,8.3,.280,0.3,1.0,.333,2.0,7.3,.273,.300,0.7,0.7,1.000,0.7,1.3,2.0,3.3,0.3,0.7,2.7,1.7,5.7
364,Dion Waiters\waitedi01,SG,26,MIA,3,3,31.3,6.3,13.7,.463,1.7,5.0,.333,4.7,8.7,.538,.524,0.3,1.0,.333,0.0,1.0,1.0,2.3,1.3,1.0,2.3,2.7,14.7
365,Kemba Walker\walkeke02,PG,27,CHO,3,3,36.0,6.0,13.7,.439,2.0,5.7,.353,4.0,8.0,.500,.512,7.7,9.0,.852,0.7,3.3,4.0,6.3,0.7,0.0,3.7,1.0,21.7
366,John Wall\walljo01,PG,27,WAS,3,3,35.3,7.0,17.7,.396,0.3,3.0,.111,6.7,14.7,.455,.406,10.0,11.7,.857,0.7,2.3,3.0,10.0,1.0,1.7,4.0,1.7,24.3
367,Taurean Waller-Prince\princta02,SF,23,ATL,4,4,28.8,5.5,11.3,.489,1.3,2.0,.625,4.3,9.3,.459,.544,1.3,1.3,1.000,0.8,5.3,6.0,1.5,1.3,0.3,3.3,2.8,13.5
368,T.J. Warren\warretj01,SF,24,PHO,4,4,28.3,4.3,10.5,.405,0.3,1.0,.250,4.0,9.5,.421,.417,2.5,3.5,.714,1.0,3.8,4.8,1.8,0.8,0.8,2.0,2.5,11.3
369,David West\westda01,C,37,GSW,4,0,10.8,2.3,3.3,.692,0.3,0.3,1.000,2.0,3.0,.667,.731,1.0,1.5,.667,1.5,1.3,2.8,1.3,0.5,1.0,0.8,1.8,5.8
370,Russell Westbrook\westbru01,PG,29,OKC,3,3,35.3,7.0,15.7,.447,2.0,4.7,.429,5.0,11.0,.455,.511,3.3,6.0,.556,1.3,8.0,9.3,11.7,0.7,0.7,5.3,2.0,19.3
371,Derrick White\whitede01,PG,23,SAS,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,Hassan Whiteside\whiteha01,C,28,MIA,1,1,36.0,11.0,18.0,.611,1.0,1.0,1.000,10.0,17.0,.588,.639,3.0,3.0,1.000,5.0,17.0,22.0,1.0,0.0,1.0,1.0,1.0,26.0
373,Andrew Wiggins\wiggian01,SF,22,MIN,3,3,34.7,8.7,17.7,.491,2.7,6.3,.421,6.0,11.3,.529,.566,4.7,7.7,.609,1.7,4.0,5.7,1.7,0.7,0.0,1.3,1.0,24.7
374,Damien Wilkins\wilkida02,F-G,38,IND,3,0,10.7,0.7,1.3,.500,0.0,0.7,.000,0.7,0.7,1.000,.500,0.0,0.0,,0.0,0.7,0.7,0.7,0.3,0.0,0.3,0.7,1.3
375,Lou Williams\willilo02,SG,31,LAC,2,0,24.5,6.0,12.5,.480,1.5,4.5,.333,4.5,8.0,.563,.540,1.5,2.0,.750,0.5,2.5,3.0,6.0,1.0,0.0,1.5,2.0,15.0
376,Marvin Williams\willima02,PF,31,CHO,3,3,23.3,1.7,7.0,.238,1.3,4.3,.308,0.3,2.7,.125,.333,0.7,1.7,.400,0.3,1.3,1.7,0.7,1.0,0.3,0.7,1.7,5.3
377,Troy Williams\willitr02,SF,23,HOU,1,0,4.0,1.0,4.0,.250,0.0,3.0,.000,1.0,1.0,1.000,.250,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
378,D.J. Wilson\wilsodj01,F,21,MIL,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,Justise Winslow\winslju01,SF,21,MIA,3,0,25.0,3.7,8.0,.458,0.3,1.3,.250,3.3,6.7,.500,.479,0.3,0.7,.500,1.3,3.7,5.0,1.0,1.0,0.3,0.7,1.7,8.0
380,Jeff Withey\witheje01,C,27,DAL,2,0,7.0,1.0,2.0,.500,0.5,1.0,.500,0.5,1.0,.500,.625,0.5,1.0,.500,0.0,1.5,1.5,0.0,0.0,0.0,0.5,0.5,3.0
381,Brandan Wright\wrighbr03,PF,30,MEM,3,0,16.0,2.3,3.3,.700,0.0,0.0,,2.3,3.3,.700,.700,0.0,0.7,.000,1.0,2.7,3.7,0.0,1.0,0.3,0.3,1.0,4.7
382,Delon Wright\wrighde01,PG,25,TOR,3,0,26.7,2.7,6.3,.421,0.3,3.3,.100,2.3,3.0,.778,.447,4.7,4.7,1.000,0.3,3.0,3.3,3.3,0.7,1.0,1.7,1.7,10.3
383,Guerschon Yabusele\yabusgu01,F,22,BOS,1,0,3.0,1.0,2.0,.500,1.0,1.0,1.000,0.0,1.0,.000,.750,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0
384,Joe Young\youngjo01,PG,25,IND,1,0,4.0,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,1.0,2.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0
385,Nick Young\youngni01,SG,32,GSW,4,0,15.5,3.3,5.5,.591,2.8,4.5,.611,0.5,1.0,.500,.841,0.5,0.5,1.000,0.3,0.8,1.0,0.3,0.3,0.0,0.8,1.3,9.8
386,Thaddeus Young\youngth01,PF,29,IND,3,3,31.3,6.0,13.3,.450,0.3,2.7,.125,5.7,10.7,.531,.463,0.7,0.7,1.000,3.7,5.0,8.7,1.3,1.0,1.0,0.7,1.7,13.0
387,Cody Zeller\zelleco01,PF,25,CHO,1,0,23.0,3.0,5.0,.600,0.0,0.0,,3.0,5.0,.600,.600,2.0,2.0,1.000,1.0,8.0,9.0,0.0,0.0,1.0,2.0,2.0,8.0
388,Paul Zipser\zipsepa01,SF,23,CHI,2,2,25.0,2.0,5.5,.364,0.5,1.5,.333,1.5,4.0,.375,.409,0.5,1.0,.500,0.0,4.5,4.5,2.0,1.0,0.0,2.0,3.0,5.0
389,Ante Zizic\zizican01,F-C,21,CLE,1,0,7.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,2.0,3.0,.667,2.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0